"genes","logFC","logCPM","LR","PValue","FDR","symbol","biotype","description"
"ENSMUSG00000085912",5.57324524386255,7.31087562899143,57.7389940272397,2.99310089149584e-14,4.81290623352531e-12,"Trp53cor1","lincRNA","tumor protein p53 pathway corepressor 1 [Source:MGI Symbol;Acc:MGI:3801771]"
"ENSMUSG00000102785",5.52443970110997,4.59879471102145,12.6631424775833,0.000372934860269863,0.0031233294547601,"Gm2447","lincRNA","predicted gene 2447 [Source:MGI Symbol;Acc:MGI:3780614]"
"ENSMUSG00000092349",5.47724208711003,4.60051374175694,12.4098244968527,0.000427081002500084,0.00343373126010068,"Platr17","lincRNA","pluripotency associated transcript 17 [Source:MGI Symbol;Acc:MGI:3054967]"
"ENSMUSG00000074274",5.4596540319577,6.81160592676678,45.0600914266816,1.91080043282862e-11,1.28023628999518e-09,"D930028M14Rik","lincRNA","RIKEN cDNA D930028M14 gene [Source:MGI Symbol;Acc:MGI:3687343]"
"ENSMUSG00000097180",5.41147181001463,9.77924853632786,94.1268090867491,2.9594372707624e-22,1.18969378284649e-19,"2700038G22Rik","lincRNA","RIKEN cDNA 2700038G22 gene [Source:MGI Symbol;Acc:MGI:1914444]"
"ENSMUSG00000105296",5.3230258609224,4.49434251958022,11.6593422847641,0.000638809217245307,0.00475557972838173,"Gm19708","lincRNA","predicted gene, 19708 [Source:MGI Symbol;Acc:MGI:5011893]"
"ENSMUSG00000103965",5.28306784912266,6.30646738791124,21.0100847188577,4.56872213603112e-06,6.1220876622817e-05,"Gm30173","lincRNA","predicted gene, 30173 [Source:MGI Symbol;Acc:MGI:5589332]"
"ENSMUSG00000097532",5.26233002231527,4.45859281574941,10.0938004826347,0.00148768967655462,0.00920078846115316,"Gm4349","lincRNA","predicted gene 4349 [Source:MGI Symbol;Acc:MGI:3782533]"
"ENSMUSG00000087179",5.20325473280275,8.88864937816381,82.3414636111676,1.14494892218926e-19,3.06846311146721e-17,"Gm14230","lincRNA","predicted gene 14230 [Source:MGI Symbol;Acc:MGI:3652157]"
"ENSMUSG00000098202",4.78630259773395,9.01776300352345,31.9627916618563,1.57154090157736e-08,4.07586737054256e-07,"B830012L14Rik","lincRNA","RIKEN cDNA B830012L14 gene [Source:MGI Symbol;Acc:MGI:2443332]"
"ENSMUSG00000097299",4.77349222346081,5.27155675358957,18.1245429043495,2.0691718191318e-05,0.000244649138614995,"Gm26654","lincRNA","predicted gene, 26654 [Source:MGI Symbol;Acc:MGI:5477148]"
"ENSMUSG00000085030",4.76625022497399,6.23251801971123,33.3887185154646,7.54604282584754e-09,2.16939647211118e-07,"2810455O05Rik","lincRNA","RIKEN cDNA 2810455O05 gene [Source:MGI Symbol;Acc:MGI:1920072]"
"ENSMUSG00000097391",4.73909887989827,8.44698967913724,35.2560622288936,2.89080845204736e-09,1.01052608497655e-07,"Mirg","lincRNA","miRNA containing gene [Source:MGI Symbol;Acc:MGI:3781106]"
"ENSMUSG00000098318",4.47046840531851,7.38591181051011,50.5341992403325,1.17106231590938e-12,1.17691762748892e-10,"Lockd","lincRNA","lncRNA downstream of Cdkn1b [Source:MGI Symbol;Acc:MGI:1915081]"
"ENSMUSG00000087362",4.36248118899392,6.21045326415854,31.2157385256258,2.30886584493381e-08,5.15646705368551e-07,"Gm13710","lincRNA","predicted gene 13710 [Source:MGI Symbol;Acc:MGI:3650894]"
"ENSMUSG00000105402",4.32949378354009,6.26582866079406,25.4047298779598,4.64777159867512e-07,7.62613952109142e-06,"Gm3716","lincRNA","predicted gene 3716 [Source:MGI Symbol;Acc:MGI:3781892]"
"ENSMUSG00000108197",4.30602355406283,4.88602983537783,10.3900684070977,0.00126694929708946,0.00802068688866085,"Gm44214","lincRNA","predicted gene, 44214 [Source:MGI Symbol;Acc:MGI:5690606]"
"ENSMUSG00000086665",4.07865552969228,7.20658449926915,30.7871179724035,2.87943010312684e-08,6.25692379165941e-07,"Gm13067","lincRNA","predicted gene 13067 [Source:MGI Symbol;Acc:MGI:3651968]"
"ENSMUSG00000103164",4.05254961072591,7.21479707030878,36.5247895196126,1.50736972358935e-09,6.33341629232868e-08,"Gm38150","lincRNA","predicted gene, 38150 [Source:MGI Symbol;Acc:MGI:5611378]"
"ENSMUSG00000097619",3.89512501942479,5.6528547716786,11.8699826802071,0.000570459430339175,0.00436808935231139,"4833422M21Rik","lincRNA","RIKEN cDNA 4833422M21 gene [Source:MGI Symbol;Acc:MGI:1923018]"
"ENSMUSG00000097313",3.77886622012265,6.82901284508397,26.0164605396428,3.38518782247709e-07,5.79083193462038e-06,"Gm26569","lincRNA","predicted gene, 26569 [Source:MGI Symbol;Acc:MGI:5477063]"
"ENSMUSG00000087523",3.64707135954877,5.00559293031604,9.9617641112951,0.00159824836706149,0.00966159163246194,"Gm12319","lincRNA","predicted gene 12319 [Source:MGI Symbol;Acc:MGI:3649749]"
"ENSMUSG00000054510",3.56457426647817,5.28464627594739,12.1464194799215,0.000491821944938701,0.0038767141542227,"Gm14461","lincRNA","predicted gene 14461 [Source:MGI Symbol;Acc:MGI:3651589]"
"ENSMUSG00000097537",3.5031686668878,6.7202690419762,25.8387602013947,3.71159711729362e-07,6.21692517146681e-06,"2610020C07Rik","lincRNA","RIKEN cDNA 2610020C07 gene [Source:MGI Symbol;Acc:MGI:1917168]"
"ENSMUSG00000108258",3.4388799289825,6.42380642474387,24.794887686627,6.37663686317575e-07,1.00525804666535e-05,"Gm43913","lincRNA","predicted gene, 43913 [Source:MGI Symbol;Acc:MGI:5690305]"
"ENSMUSG00000097415",3.33297379323489,12.175930790313,57.2844385865952,3.7712734267329e-14,5.05350639182209e-12,"AU020206","lincRNA","expressed sequence AU020206 [Source:MGI Symbol;Acc:MGI:2142134]"
"ENSMUSG00000110710",3.3006840764202,5.1516023638379,10.2377538470991,0.00137595035355592,0.00864268815827313,"C78859","lincRNA","expressed sequence C78859 [Source:MGI Symbol;Acc:MGI:2142856]"
"ENSMUSG00000087648",3.21464547566079,5.89354507635632,15.307779696374,9.13395691691272e-05,0.000914051926082569,"E130018N17Rik","lincRNA","RIKEN cDNA E130018N17 gene [Source:MGI Symbol;Acc:MGI:1924267]"
"ENSMUSG00000110605",3.11324000676006,9.3981015716825,41.6288819824903,1.10350950858161e-10,6.33729746356865e-09,"Gm32856","lincRNA","predicted gene, 32856 [Source:MGI Symbol;Acc:MGI:5592015]"
"ENSMUSG00000087613",3.09192057481774,5.65212184305306,11.1203362562983,0.000853863053827641,0.00586757175450789,"Gm13855","lincRNA","predicted gene 13855 [Source:MGI Symbol;Acc:MGI:3652198]"
"ENSMUSG00000097113",3.02311028297894,7.53532433671021,28.1778542629571,1.1066353896764e-07,2.11841631738053e-06,"Gm19705","lincRNA","predicted gene, 19705 [Source:MGI Symbol;Acc:MGI:5011890]"
"ENSMUSG00000021268",3.0099962004052,10.9297369861196,18.3859858877375,1.80379772536665e-05,0.000219735359271937,"Meg3","lincRNA","maternally expressed 3 [Source:MGI Symbol;Acc:MGI:1202886]"
"ENSMUSG00000089726",2.96513817393798,10.9617227224453,46.5676061751051,8.85114126319517e-12,7.11631757560892e-10,"Mir17hg","lincRNA","Mir17 host gene (non-protein coding) [Source:MGI Symbol;Acc:MGI:1923207]"
"ENSMUSG00000107879",2.96387924555231,6.74757055456826,22.7782091295923,1.81815603337107e-06,2.61035259076846e-05,"9330102E08Rik","lincRNA","RIKEN cDNA 9330102E08 gene [Source:MGI Symbol;Acc:MGI:3026973]"
"ENSMUSG00000093594",2.94569934487949,7.11396509361261,19.2672872872803,1.13636750328895e-05,0.000145022138514971,"Gm20707","lincRNA","predicted gene 20707 [Source:MGI Symbol;Acc:MGI:5313154]"
"ENSMUSG00000097055",2.94536038681628,6.25319528526249,16.9022841597314,3.93541975854226e-05,0.00042187699811573,"Gm4419","lincRNA","predicted gene 4419 [Source:MGI Symbol;Acc:MGI:3782604]"
"ENSMUSG00000087028",2.90133722388145,5.67215195925693,11.7642161267563,0.000603803046666662,0.00453698737869155,"Gm13387","lincRNA","predicted gene 13387 [Source:MGI Symbol;Acc:MGI:3651242]"
"ENSMUSG00000099384",2.79607583143127,6.10763473443116,14.5999782291782,0.000132916079490634,0.00122832790701689,"1700110C19Rik","lincRNA","RIKEN cDNA 1700110C19 gene [Source:MGI Symbol;Acc:MGI:1923884]"
"ENSMUSG00000101365",2.71783028746384,7.03751957435113,14.7278002884869,0.000124201363896564,0.00118878448300997,"Gm19325","lincRNA","predicted gene, 19325 [Source:MGI Symbol;Acc:MGI:5011510]"
"ENSMUSG00000100287",2.71773238686658,6.55230193588663,11.5584865720041,0.000674407249537579,0.00492930389662012,"Gm28068","lincRNA","predicted gene 28068 [Source:MGI Symbol;Acc:MGI:5578774]"
"ENSMUSG00000085054",2.68147911527669,6.56550221839906,14.3619308460341,0.00015082094023438,0.00136247231402743,"Gm15834","lincRNA","predicted gene 15834 [Source:MGI Symbol;Acc:MGI:3802168]"
"ENSMUSG00000086290",2.63358006886079,11.1657568187373,36.438652719582,1.575476689634e-09,6.33341629232868e-08,"Snhg12","lincRNA","small nucleolar RNA host gene 12 [Source:MGI Symbol;Acc:MGI:1916721]"
"ENSMUSG00000097797",2.61958171951978,7.51613507555441,20.8132060702923,5.06326255238764e-06,6.67354605265518e-05,"Gm26901","lincRNA","predicted gene, 26901 [Source:MGI Symbol;Acc:MGI:5477395]"
"ENSMUSG00000097690",2.595426753403,5.69096812142421,10.8087378368019,0.00101022152036478,0.00671254630060566,"4930505N22Rik","lincRNA","RIKEN cDNA 4930505N22 gene [Source:MGI Symbol;Acc:MGI:1922306]"
"ENSMUSG00000106943",2.57565601883899,9.64697118561279,29.2173560518881,6.4697072004718e-08,1.30041114729483e-06,"Dancr","lincRNA","differentiation antagonizing non-protein coding RNA [Source:MGI Symbol;Acc:MGI:1917286]"
"ENSMUSG00000097397",2.54692164443844,5.6360036875171,10.0971675120237,0.00148497394419339,0.00920078846115316,"Gm16861","lincRNA","predicted gene, 16861 [Source:MGI Symbol;Acc:MGI:4439785]"
"ENSMUSG00000097039",2.45450717761278,10.02049793884,28.4724040627347,9.50435474738381e-08,1.86378078460892e-06,"Pvt1","lincRNA","plasmacytoma variant translocation 1 [Source:MGI Symbol;Acc:MGI:97824]"
"ENSMUSG00000087590",2.37808381258008,9.6067919702707,24.9714204218888,5.81864567705071e-07,9.35638224869754e-06,"Epb41l4aos","lincRNA","erythrocyte membrane protein band 4.1 like 4a, opposite strand [Source:MGI Symbol;Acc:MGI:1916999]"
"ENSMUSG00000096956",2.24727163734342,7.32890481308457,17.9270992932656,2.29529539440827e-05,0.000263631071014893,"Snhg18","lincRNA","small nucleolar RNA host gene 18 [Source:MGI Symbol;Acc:MGI:1914085]"
"ENSMUSG00000101596",2.17829388596768,7.76910751363831,12.4607222212614,0.000415599220557605,0.00337516942755873,"Gm28182","lincRNA","predicted gene 28182 [Source:MGI Symbol;Acc:MGI:5578888]"
"ENSMUSG00000086013",2.06819821726458,6.21406414617041,10.0351833160435,0.00153578262529661,0.00942571931861433,"Gm15706","lincRNA","predicted gene 15706 [Source:MGI Symbol;Acc:MGI:3783146]"
"ENSMUSG00000106547",1.97818678184924,6.73840969597746,11.1574055537935,0.000836968908149975,0.00580106036338431,"B230303O12Rik","lincRNA","RIKEN cDNA B230303O12 gene [Source:MGI Symbol;Acc:MGI:2442644]"
"ENSMUSG00000087373",1.9385510089528,6.8748077435376,11.2995861512011,0.000775243690901162,0.00546750813582925,"Gm15892","lincRNA","predicted gene 15892 [Source:MGI Symbol;Acc:MGI:3801833]"
"ENSMUSG00000097908",1.90772501666563,10.8497706833385,19.4438309950566,1.03601923762853e-05,0.000134348301137635,"4933404O12Rik","lincRNA","RIKEN cDNA 4933404O12 gene [Source:MGI Symbol;Acc:MGI:1914002]"
"ENSMUSG00000066057",1.86481990172623,9.01336759108888,16.1121246053671,5.97005967198682e-05,0.000623367269646416,"Gm1976","lincRNA","predicted gene 1976 [Source:MGI Symbol;Acc:MGI:3780145]"
"ENSMUSG00000098234",1.8545752179969,10.3146157556228,19.1110875682369,1.23326346733408e-05,0.000152545204267169,"Snhg6","lincRNA","small nucleolar RNA host gene 6 [Source:MGI Symbol;Acc:MGI:1921074]"
"ENSMUSG00000086859",1.56429098716103,8.99913440789789,11.6320700887742,0.000648243704676566,0.00478154072073357,"Snhg20","lincRNA","small nucleolar RNA host gene 20 [Source:MGI Symbol;Acc:MGI:1924222]"
"ENSMUSG00000087574",1.52737144709761,8.2764104603121,10.4113061249369,0.00125246128368937,0.00799189581020835,"C030037D09Rik","lincRNA","RIKEN cDNA C030037D09 gene [Source:MGI Symbol;Acc:MGI:1924865]"
"ENSMUSG00000097772",1.48600259762755,10.7893191951087,11.9583865126345,0.000544019596610012,0.00420568995840817,"5430416N02Rik","lincRNA","RIKEN cDNA 5430416N02 gene [Source:MGI Symbol;Acc:MGI:1918676]"
